ensembl_gene_id_version,hgnc_symbol,external_gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000271109.2,LINC03049,LINC03049,-1.205,-2.63,-2.13,0.042,0.172,-3.85797331364122
ENSG00000143552.10,NUP210L,NUP210L,2.388,-3.039,2.131,0.042,0.171,-3.86695374451922
ENSG00000108684.15,ASIC2,ASIC2,1.399,-3.665,2.125,0.042,0.173,-3.87427930735086
ENSG00000287710.1,,,-0.972,-1.594,-2.125,0.042,0.173,-3.87823325028496
ENSG00000271869.2,DCTN6-DT,DCTN6-DT,-0.846,-1.245,-2.12,0.042,0.174,-3.89258506795478
ENSG00000184949.18,FAM227A,FAM227A,1.766,1.753,2.129,0.042,0.172,-3.90117951146838
ENSG00000239945.1,,,2.58,-3.094,2.129,0.042,0.172,-3.90648517084582
ENSG00000156427.8,FGF18,FGF18,1.513,-3.095,2.128,0.042,0.172,-3.92929273597923
ENSG00000205181.8,LINC00654,LINC00654,1.868,1.401,2.128,0.042,0.172,-3.99453492009859
ENSG00000152454.4,ZNF256,ZNF256,-0.399,1.79,-2.121,0.042,0.174,-4.3098593171568
ENSG00000118495.21,PLAGL1,PLAGL1,-0.576,3.85,-2.125,0.042,0.173,-4.41518830907671
ENSG00000196636.8,SDHAF3,SDHAF3,-1.161,3.539,-2.13,0.042,0.172,-4.43214154397668
ENSG00000160606.11,TLCD1,TLCD1,-0.478,2.792,-2.13,0.042,0.172,-4.49975190649582
ENSG00000151093.8,OXSM,OXSM,-0.426,3.557,-2.121,0.042,0.174,-4.51051841151545
ENSG00000104327.7,CALB1,CALB1,1.72,-1.605,2.122,0.042,0.174,-4.52801583985201
ENSG00000137760.15,ALKBH8,ALKBH8,0.444,3.398,2.124,0.042,0.173,-4.59010310693881
ENSG00000109667.12,SLC2A9,SLC2A9,0.429,2.643,2.126,0.042,0.173,-4.64574853107979
ENSG00000171723.16,GPHN,GPHN,0.45,3.869,2.126,0.042,0.173,-4.67252889178395
ENSG00000141298.19,SSH2,SSH2,-0.4,5.061,-2.128,0.042,0.172,-4.70064055888183
ENSG00000095485.18,CWF19L1,CWF19L1,0.491,4.548,2.127,0.042,0.172,-4.73768437698405
ENSG00000136897.8,MRPL50,MRPL50,-0.522,5.088,-2.13,0.042,0.172,-4.7625937954624
ENSG00000026103.25,FAS,FAS,-0.709,5.168,-2.125,0.042,0.173,-4.77026213514454
ENSG00000005175.10,RPAP3,RPAP3,-0.319,4.836,-2.124,0.042,0.173,-4.77673769708594
ENSG00000274211.6,SOCS7,SOCS7,-0.454,4.565,-2.127,0.042,0.173,-4.78171592319053
ENSG00000158286.13,RNF207,RNF207,0.638,3.562,2.125,0.042,0.173,-4.79909597860769
ENSG00000102181.22,CD99L2,CD99L2,0.5,5.705,2.13,0.042,0.172,-4.8353801420804
ENSG00000172992.13,DCAKD,DCAKD,0.287,4.764,2.123,0.042,0.173,-4.85402788101546
ENSG00000165449.12,SLC16A9,SLC16A9,-0.885,3.609,-2.122,0.042,0.174,-4.85985511049284
ENSG00000155975.10,VPS37A,VPS37A,0.275,5.476,2.129,0.042,0.172,-4.87360172968355
ENSG00000154217.16,PITPNC1,PITPNC1,0.489,4.709,2.126,0.042,0.173,-4.87720824702539
ENSG00000137203.15,TFAP2A,TFAP2A,-0.42,2.791,-2.13,0.042,0.172,-4.88575400695225
ENSG00000151136.15,ABTB3,ABTB3,0.736,3.242,2.126,0.042,0.173,-4.89753770698319
