# TIMESTAMP|SAMPLE_ID|JOBID|STATUS|ELAPSED_TIME|NODE
2026-01-13 17:41:33|sample17|4274659|R|45:51|cirrus02.bwh.harvard.edu
2026-01-13 17:41:34|sample18|4274664|R|45:03|stratus03.bwh.harvard.edu
2026-01-13 17:41:34|sample38|4274825|R|27:23|green07.bwh.harvard.edu
2026-01-13 17:43:34|sample1|4274613|R|54:51|cirrus02.bwh.harvard.edu
2026-01-13 17:43:35|sample2|4274614|R|54:39|cirrus02.bwh.harvard.edu
2026-01-13 17:43:35|sample3|4274615|R|54:26|cirrus02.bwh.harvard.edu
2026-01-13 17:43:35|sample4|4274617|R|54:00|green07.bwh.harvard.edu
2026-01-13 17:43:35|sample5|4274619|R|53:36|green07.bwh.harvard.edu
2026-01-13 17:43:35|sample6|4274622|R|53:10|green07.bwh.harvard.edu
2026-01-13 17:43:36|sample7|4274626|R|52:46|chanstack2.bwh.harvard.edu
2026-01-13 17:43:36|sample8|4274630|R|52:21|chanstack3.bwh.harvard.edu
2026-01-13 17:43:36|sample9|4274633|R|51:53|stratus03.bwh.harvard.edu
2026-01-13 17:43:37|sample10|4274637|R|51:29|stratus03.bwh.harvard.edu
2026-01-13 17:43:37|sample11|4274639|R|51:06|stratus03.bwh.harvard.edu
2026-01-13 17:43:37|sample12|4274642|R|50:41|stratus01.bwh.harvard.edu
2026-01-13 17:43:37|sample13|4274645|R|50:15|stratus01.bwh.harvard.edu
2026-01-13 17:43:38|sample14|4274647|R|49:51|stratus01.bwh.harvard.edu
2026-01-13 17:43:38|sample15|4274651|R|49:26|stratus01.bwh.harvard.edu
2026-01-13 17:43:38|sample16|4274655|R|48:35|derby16.bwh.harvard.edu
2026-01-13 17:43:38|sample17|4274659|R|47:56|cirrus02.bwh.harvard.edu
2026-01-13 17:43:39|sample18|4274664|R|47:08|stratus03.bwh.harvard.edu
2026-01-13 17:43:39|sample38|4274825|R|29:28|green07.bwh.harvard.edu
2026-01-13 17:45:39|sample1|4274613|R|56:56|cirrus02.bwh.harvard.edu
2026-01-13 17:45:39|sample2|4274614|R|56:43|cirrus02.bwh.harvard.edu
2026-01-13 17:45:40|sample3|4274615|R|56:31|cirrus02.bwh.harvard.edu
2026-01-13 17:45:40|sample4|4274617|R|56:05|green07.bwh.harvard.edu
2026-01-13 17:45:40|sample5|4274619|R|55:41|green07.bwh.harvard.edu
2026-01-13 17:45:40|sample6|4274622|R|55:15|green07.bwh.harvard.edu
2026-01-13 17:45:41|sample7|4274626|R|54:51|chanstack2.bwh.harvard.edu
2026-01-13 17:45:41|sample8|4274630|R|54:26|chanstack3.bwh.harvard.edu
2026-01-13 17:45:41|sample9|4274633|R|53:58|stratus03.bwh.harvard.edu
2026-01-13 17:45:42|sample10|4274637|R|53:34|stratus03.bwh.harvard.edu
2026-01-13 17:45:42|sample11|4274639|R|53:11|stratus03.bwh.harvard.edu
2026-01-13 17:45:42|sample12|4274642|R|52:46|stratus01.bwh.harvard.edu
2026-01-13 17:45:42|sample13|4274645|R|52:20|stratus01.bwh.harvard.edu
